alive :

	Generation 0 	 Population: 36
	Generation 1 	 Population: 39
	Generation 2 	 Population: 43
	Generation 3 	 Population: 48
	Generation 4 	 Population: 51
	Generation 5 	 Population: 44
	Generation 6 	 Population: 51
	Generation 7 	 Population: 48
	Generation 8 	 Population: 61
	Generation 9 	 Population: 42
	Generation 10 	 Population: 48
	Generation 11 	 Population: 50
	Generation 12 	 Population: 54
	Generation 13 	 Population: 55
	Generation 14 	 Population: 56
	Generation 15 	 Population: 42
	Generation 16 	 Population: 44
	Generation 17 	 Population: 47
	Generation 18 	 Population: 53
	Generation 19 	 Population: 54
	Generation 20 	 Population: 54
	Generation 21 	 Population: 54
	Generation 22 	 Population: 49
	Generation 23 	 Population: 60
	Generation 24 	 Population: 43
	Generation 25 	 Population: 50
	Generation 26 	 Population: 47
	Generation 27 	 Population: 47
	Generation 28 	 Population: 50
	Generation 29 	 Population: 48
	Generation 30 	 Population: 41
	Generation 31 	 Population: 44
	Generation 32 	 Population: 48
	Generation 33 	 Population: 53
	Generation 34 	 Population: 56
	Generation 35 	 Population: 49
	Generation 36 	 Population: 56
	Generation 37 	 Population: 53
	Generation 38 	 Population: 66
	Generation 39 	 Population: 47
	Generation 40 	 Population: 53
	Generation 41 	 Population: 55
	Generation 42 	 Population: 59
	Generation 43 	 Population: 60
	Generation 44 	 Population: 61
	Generation 45 	 Population: 47
	Generation 46 	 Population: 49
	Generation 47 	 Population: 52
	Generation 48 	 Population: 58
	Generation 49 	 Population: 59
	Generation 50 	 Population: 59
	Generation 51 	 Population: 59
	Generation 52 	 Population: 54
	Generation 53 	 Population: 65
	Generation 54 	 Population: 48
	Generation 55 	 Population: 55
	Generation 56 	 Population: 52
	Generation 57 	 Population: 52
	MAX: 66	MIN: 36	AVERAGE: 52.0
